Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gicumbi,,Percent,45,3.4
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gicumbi,,Percent,45,0.4
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gicumbi,,Percent,45,3.4
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gicumbi,,Percent,45,1.6
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Muhanga,,Percent,27,1.7
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Muhanga,,Percent,27,5.3
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Muhanga,,Percent,27,4.5
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Muhanga,,Percent,27,8.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rulindo,,Percent,41,0.8
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rulindo,,Percent,41,1.0
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rulindo,,Percent,41,0.4
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rulindo,,Percent,41,2.4
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gakenke,,Percent,42,0.2
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gakenke,,Percent,42,0.4
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gakenke,,Percent,42,0.8
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gakenke,,Percent,42,2.1
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Huye,,Percent,24,3.5
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Huye,,Percent,24,1.8
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Huye,,Percent,24,0.9
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Huye,,Percent,24,7.1
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngororero,,Percent,35,2.4
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngororero,,Percent,35,1.0
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngororero,,Percent,35,1.9
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngororero,,Percent,35,2.8
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyarugenge,,Percent,11,57.7
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyarugenge,,Percent,11,60.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyarugenge,,Percent,11,57.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyarugenge,,Percent,11,56.0
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Burera,,Percent,44,0.4
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Burera,,Percent,44,0.9
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Burera,,Percent,44,1.9
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Burera,,Percent,44,0.8
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gasabo,,Percent,12,35.6
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gasabo,,Percent,12,41.7
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gasabo,,Percent,12,46.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gasabo,,Percent,12,52.2
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rubavu,,Percent,33,15.5
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rubavu,,Percent,33,9.4
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rubavu,,Percent,33,9.7
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rubavu,,Percent,33,15.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Bugesera,,Percent,57,3.2
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Bugesera,,Percent,57,1.1
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Bugesera,,Percent,57,1.9
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Bugesera,,Percent,57,16.3
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kirehe,,Percent,55,2.9
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kirehe,,Percent,55,2.1
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kirehe,,Percent,55,1.1
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kirehe,,Percent,55,2.5
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ruhango,,Percent,26,3.9
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ruhango,,Percent,26,1.6
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ruhango,,Percent,26,2.5
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ruhango,,Percent,26,2.9
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kamonyi,,Percent,28,0.9
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kamonyi,,Percent,28,0.8
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kamonyi,,Percent,28,9.0
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kamonyi,,Percent,28,12.5
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rwamagana,,Percent,51,1.5
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rwamagana,,Percent,51,3.3
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rwamagana,,Percent,51,2.4
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rwamagana,,Percent,51,7.8
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyanza,,Percent,21,3.3
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyanza,,Percent,21,4.4
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyanza,,Percent,21,1.8
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyanza,,Percent,21,2.5
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gisagara,,Percent,22,1.1
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gisagara,,Percent,22,0.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gisagara,,Percent,22,3.4
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gisagara,,Percent,22,0.4
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngoma,,Percent,56,1.0
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngoma,,Percent,56,1.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngoma,,Percent,56,1.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Ngoma,,Percent,56,1.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kicukiro,,Percent,13,44.8
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kicukiro,,Percent,13,47.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kicukiro,,Percent,13,59.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kicukiro,,Percent,13,59.1
