Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2004,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,26.4
2005,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,25.5
2006,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,24.8
2007,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,24.0
2008,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,23.4
2009,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.9
2010,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.5
2011,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.3
2012,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.3
2013,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.4
2014,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.5
2015,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.6
2016,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.7
2017,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.8
2018,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.8
2019,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,22.9
2020,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,23.0
2021,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,23.2
2022,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,23.5
2023,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,23.9
