Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,"Per 1,000 live births",,70
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,"Per 1,000 live births",,48
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,"Per 1,000 live births",1,102
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,"Per 1,000 live births",1,79
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,"Per 1,000 live births",1,42
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,"Per 1,000 live births",1,31
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,"Per 1,000 live births",2,127
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,"Per 1,000 live births",2,96
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,"Per 1,000 live births",2,66
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,"Per 1,000 live births",2,56
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,"Per 1,000 live births",3,129
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,"Per 1,000 live births",3,88
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,"Per 1,000 live births",3,62
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,"Per 1,000 live births",3,44
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,"Per 1,000 live births",4,115
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,"Per 1,000 live births",4,107
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,"Per 1,000 live births",4,60
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,"Per 1,000 live births",4,57
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,"Per 1,000 live births",5,174
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,"Per 1,000 live births",5,125
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,"Per 1,000 live births",5,86
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,"Per 1,000 live births",5,56
