Year,Value,GeoCode,UNIT_MEASURE,SERIES
2020,67.2,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2021,69.0,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2022,64.1,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2023,70.0,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2024,75.8,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2011,17.3,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2012,18.5,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2013,24.8,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2014,25.6,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2015,28.3,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2016,48.1,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2017,50.9,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2018,55.4,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2019,59.7,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2020,75.0,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2021,76.3,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2022,68.0,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2023,79.2,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2024,86.5,,Percent,External debt stocks as a percentage of GDP [17.13.1]
2017,21.4,,Percent,Bank capital adequacy ratio [17.13.1]
2018,25.5,,Percent,Bank capital adequacy ratio [17.13.1]
2019,24.1,,Percent,Bank capital adequacy ratio [17.13.1]
2020,21.5,,Percent,Bank capital adequacy ratio [17.13.1]
2021,21.5,,Percent,Bank capital adequacy ratio [17.13.1]
2022,21.7,,Percent,Bank capital adequacy ratio [17.13.1]
2023,21.5,,Percent,Bank capital adequacy ratio [17.13.1]
2024,20.5,,Percent,Bank capital adequacy ratio [17.13.1]
2011,5.3,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2012,4.1,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2013,4.8,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2014,3.9,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2015,3.6,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2016,3.9,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2017,4.2,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2018,4.5,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2019,5.9,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2020,5.9,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2021,5.1,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2022,4.3,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2023,4.4,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2024,5.4,,Number,Gross official reserves in months of next year's imports (ratio) [17.13.1]
2012,14.0,,Percent,Annual broad money growth [17.13.1]
2013,15.5,,Percent,Annual broad money growth [17.13.1]
2014,19.1,,Percent,Annual broad money growth [17.13.1]
2015,21.1,,Percent,Annual broad money growth [17.13.1]
2016,7.6,,Percent,Annual broad money growth [17.13.1]
2017,12.4,,Percent,Annual broad money growth [17.13.1]
2018,15.6,,Percent,Annual broad money growth [17.13.1]
2019,15.4,,Percent,Annual broad money growth [17.13.1]
2020,18.0,,Percent,Annual broad money growth [17.13.1]
2021,15.7,,Percent,Annual broad money growth [17.13.1]
2022,22.5,,Percent,Annual broad money growth [17.13.1]
2023,22.8,,Percent,Annual broad money growth [17.13.1]
2024,20.6,,Percent,Annual broad money growth [17.13.1]
2011,5.7,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2012,6.3,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2013,4.2,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2014,1.8,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2015,2.5,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2016,5.7,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2017,4.8,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2018,1.4,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2019,2.4,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2020,7.7,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2021,0.8,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2022,13.9,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2023,14.0,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2024,4.8,,Percent,"Annual inflation, CPI period average percentage change [17.13.1]"
2011,-8.7,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2012,-7.9,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2013,-8.8,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2014,-3.9,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2015,-3.5,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2016,-3.4,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2017,-4.3,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2018,-3.7,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2019,-5.9,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2020,-7.8,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2021,-7.5,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2022,-8.0,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2023,-6.4,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2024,-6.3,,Percent,Fiscal deficit (including grants) as a percentage of GDP [17.13.1]
2011,4.7,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2012,5.2,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2013,5.7,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2014,13.6,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2015,14.2,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2016,15.3,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2017,14.5,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2018,15.0,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2019,16.1,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2020,15.7,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2021,15.8,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2022,15.7,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2023,15.0,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2024,14.6,,Percent,Tax revenue as a percentage of GDP [17.13.1]
2000,4.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2001,9.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2002,14.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2003,12.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2004,10.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2005,10.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2006,9.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2007,1.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2008,2.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2009,12.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2010,10.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2011,4.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2012,16.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2013,0.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2014,21.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2015,5.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2016,9.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2017,7.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2018,5.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2019,18.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2020,2.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2021,14.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2022,10.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2023,1.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2024,14.0,,Percent,Annual growth of the general government final consumption expenditure [17.13.1]
2000,15.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2001,0.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2002,13.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2003,-8.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2004,7.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2005,9.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2006,14.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2007,0.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2008,7.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2009,13.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2010,4.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2011,9.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2012,9.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2013,9.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2014,8.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2015,16.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2016,4.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2017,-5.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2018,8.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2019,2.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2020,4.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2021,-6.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2022,-2.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2023,11.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2024,3.0,,Percent,Annual growth of households and NGOs final consumption expenditure [17.13.1]
2000,17.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2001,0.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2002,8.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2003,10.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2004,12.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2005,16.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2006,24.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2007,28.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2008,33.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2009,3.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2010,7.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2011,9.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2012,22.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2013,7.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2014,5.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2015,19.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2016,9.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2017,-10.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2018,6.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2019,32.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2020,-5.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2021,16.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2022,23.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2023,15.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2024,7.0,,Percent,Annual growth of the gross capital formation [17.13.1]
2000,0.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2001,40.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2002,5.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2003,20.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2004,32.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2005,11.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2006,2.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2007,44.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2008,-12.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2009,-3.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2010,8.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2011,24.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2012,9.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2013,19.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2014,7.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2015,6.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2016,13.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2017,42.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2018,11.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2019,20.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2020,-10.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2021,2.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2022,58.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2023,20.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2024,23.0,,Percent,Annual growth of exports of goods and services [17.13.1]
2000,24.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2001,-5.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2002,9.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2003,-13.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2004,21.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2005,12.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2006,23.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2007,13.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2008,-3.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2009,17.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2010,2.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2011,18.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2012,19.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2013,9.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2014,15.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2015,23.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2016,8.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2017,6.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2018,8.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2019,18.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2020,-4.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2021,-12.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2022,12.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2023,26.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2024,5.0,,Percent,Annual growth of imports of goods and services [17.13.1]
2000,8.4,,Percent,Annual GDP growth [17.13.1]
2001,8.5,,Percent,Annual GDP growth [17.13.1]
2002,13.2,,Percent,Annual GDP growth [17.13.1]
2003,2.2,,Percent,Annual GDP growth [17.13.1]
2004,7.4,,Percent,Annual GDP growth [17.13.1]
2005,9.4,,Percent,Annual GDP growth [17.13.1]
2006,9.2,,Percent,Annual GDP growth [17.13.1]
2007,7.6,,Percent,Annual GDP growth [17.13.1]
2008,11.2,,Percent,Annual GDP growth [17.13.1]
2009,6.2,,Percent,Annual GDP growth [17.13.1]
2010,7.3,,Percent,Annual GDP growth [17.13.1]
2011,8.0,,Percent,Annual GDP growth [17.13.1]
2012,8.6,,Percent,Annual GDP growth [17.13.1]
2013,4.7,,Percent,Annual GDP growth [17.13.1]
2014,5.7,,Percent,Annual GDP growth [17.13.1]
2015,8.9,,Percent,Annual GDP growth [17.13.1]
2016,5.7,,Percent,Annual GDP growth [17.13.1]
2017,4.7,,Percent,Annual GDP growth [17.13.1]
2018,8.1,,Percent,Annual GDP growth [17.13.1]
2019,9.3,,Percent,Annual GDP growth [17.13.1]
2020,-2.8,,Percent,Annual GDP growth [17.13.1]
2021,8.4,,Percent,Annual GDP growth [17.13.1]
2022,9.8,,Percent,Annual GDP growth [17.13.1]
2023,8.6,,Percent,Annual GDP growth [17.13.1]
2024,7.2,,Percent,Annual GDP growth [17.13.1]
2011,600.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2012,614.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2013,647.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2014,682.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2015,720.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2016,787.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2017,831.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2018,861.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2019,901.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2020,945.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2021,990.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2022,1033.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2023,1168.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2024,1323.0,,Percent,Annual average national currency per United States dollar [17.13.1]
2000,31.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2001,33.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2002,31.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2003,32.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2004,37.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2005,38.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2006,34.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2007,37.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2008,38.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2009,37.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2010,38.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2011,40.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2012,41.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2013,44.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2014,44.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2015,45.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2016,50.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2017,54.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2018,48.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2019,49.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2020,45.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2021,60.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2022,61.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2023,67.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
2024,71.0,,Percent,Total trade in goods and services as a percentage of GDP [17.13.1]
