Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,FI_RES_TOTL_MO,,NUMBER,,4.2
2018,FI_RES_TOTL_MO,,NUMBER,,4.5
2019,FI_RES_TOTL_MO,,NUMBER,,5.9
2020,FI_RES_TOTL_MO,,NUMBER,,5.9
2021,FI_RES_TOTL_MO,,NUMBER,,5.1
2022,FI_RES_TOTL_MO,,NUMBER,,4.3
2023,FI_RES_TOTL_MO,,NUMBER,,4.4
2024,FI_RES_TOTL_MO,,NUMBER,,5.4
2012,FM_LBL_BMNY_ZG,,PT,,14.0
2013,FM_LBL_BMNY_ZG,,PT,,15.5
2014,FM_LBL_BMNY_ZG,,PT,,19.1
2015,FM_LBL_BMNY_ZG,,PT,,21.1
2016,FM_LBL_BMNY_ZG,,PT,,7.6
2017,FM_LBL_BMNY_ZG,,PT,,12.4
2018,FM_LBL_BMNY_ZG,,PT,,15.6
2019,FM_LBL_BMNY_ZG,,PT,,15.4
2020,FM_LBL_BMNY_ZG,,PT,,18.0
2021,FM_LBL_BMNY_ZG,,PT,,15.7
2022,FM_LBL_BMNY_ZG,,PT,,22.5
2023,FM_LBL_BMNY_ZG,,PT,,22.8
2024,FM_LBL_BMNY_ZG,,PT,,20.6
2011,FP_CPI_TOTL_ZG,,PT,,5.7
2012,FP_CPI_TOTL_ZG,,PT,,6.3
2013,FP_CPI_TOTL_ZG,,PT,,4.2
2014,FP_CPI_TOTL_ZG,,PT,,1.8
2015,FP_CPI_TOTL_ZG,,PT,,2.5
2016,FP_CPI_TOTL_ZG,,PT,,5.7
2017,FP_CPI_TOTL_ZG,,PT,,4.8
2018,FP_CPI_TOTL_ZG,,PT,,1.4
2019,FP_CPI_TOTL_ZG,,PT,,2.4
2020,FP_CPI_TOTL_ZG,,PT,,7.7
2021,FP_CPI_TOTL_ZG,,PT,,0.8
2022,FP_CPI_TOTL_ZG,,PT,,13.9
2023,FP_CPI_TOTL_ZG,,PT,,14.0
2024,FP_CPI_TOTL_ZG,,PT,,4.8
2011,GC_BAL_CASH_GD_ZS,,PT,,-8.7
2012,GC_BAL_CASH_GD_ZS,,PT,,-7.9
2013,GC_BAL_CASH_GD_ZS,,PT,,-8.8
2014,GC_BAL_CASH_GD_ZS,,PT,,-3.9
2015,GC_BAL_CASH_GD_ZS,,PT,,-3.5
2016,GC_BAL_CASH_GD_ZS,,PT,,-3.4
2017,GC_BAL_CASH_GD_ZS,,PT,,-4.3
2018,GC_BAL_CASH_GD_ZS,,PT,,-3.7
2019,GC_BAL_CASH_GD_ZS,,PT,,-5.9
2020,GC_BAL_CASH_GD_ZS,,PT,,-7.8
2021,GC_BAL_CASH_GD_ZS,,PT,,-7.5
2022,GC_BAL_CASH_GD_ZS,,PT,,-8.0
2023,GC_BAL_CASH_GD_ZS,,PT,,-6.4
2024,GC_BAL_CASH_GD_ZS,,PT,,-6.3
2011,GC_TAX_TOTL_GD_ZS,,PT,,4.7
2012,GC_TAX_TOTL_GD_ZS,,PT,,5.2
2013,GC_TAX_TOTL_GD_ZS,,PT,,5.7
2014,GC_TAX_TOTL_GD_ZS,,PT,,13.6
2015,GC_TAX_TOTL_GD_ZS,,PT,,14.2
2016,GC_TAX_TOTL_GD_ZS,,PT,,15.3
2017,GC_TAX_TOTL_GD_ZS,,PT,,14.5
2018,GC_TAX_TOTL_GD_ZS,,PT,,15.0
2019,GC_TAX_TOTL_GD_ZS,,PT,,16.1
2020,GC_TAX_TOTL_GD_ZS,,PT,,15.7
2021,GC_TAX_TOTL_GD_ZS,,PT,,15.8
2022,GC_TAX_TOTL_GD_ZS,,PT,,15.7
2023,GC_TAX_TOTL_GD_ZS,,PT,,15.0
2024,GC_TAX_TOTL_GD_ZS,,PT,,14.6
2000,NE_CON_GOVT_KD_ZG,,PT,,4.0
2001,NE_CON_GOVT_KD_ZG,,PT,,9.0
2002,NE_CON_GOVT_KD_ZG,,PT,,14.0
2003,NE_CON_GOVT_KD_ZG,,PT,,12.0
2004,NE_CON_GOVT_KD_ZG,,PT,,10.0
2005,NE_CON_GOVT_KD_ZG,,PT,,10.0
2006,NE_CON_GOVT_KD_ZG,,PT,,9.0
2007,NE_CON_GOVT_KD_ZG,,PT,,1.0
2008,NE_CON_GOVT_KD_ZG,,PT,,2.0
2009,NE_CON_GOVT_KD_ZG,,PT,,12.0
2010,NE_CON_GOVT_KD_ZG,,PT,,10.0
2011,NE_CON_GOVT_KD_ZG,,PT,,4.0
2012,NE_CON_GOVT_KD_ZG,,PT,,16.0
2013,NE_CON_GOVT_KD_ZG,,PT,,0.0
2014,NE_CON_GOVT_KD_ZG,,PT,,21.0
2015,NE_CON_GOVT_KD_ZG,,PT,,5.0
2016,NE_CON_GOVT_KD_ZG,,PT,,9.0
2017,NE_CON_GOVT_KD_ZG,,PT,,7.0
2018,NE_CON_GOVT_KD_ZG,,PT,,5.0
2019,NE_CON_GOVT_KD_ZG,,PT,,18.0
2020,NE_CON_GOVT_KD_ZG,,PT,,2.0
2021,NE_CON_GOVT_KD_ZG,,PT,,14.0
2022,NE_CON_GOVT_KD_ZG,,PT,,10.0
2023,NE_CON_GOVT_KD_ZG,,PT,,1.0
2024,NE_CON_GOVT_KD_ZG,,PT,,14.0
2000,NE_CON_PRVT_KD_ZG,,PT,,15.0
2001,NE_CON_PRVT_KD_ZG,,PT,,0.0
2002,NE_CON_PRVT_KD_ZG,,PT,,13.0
2003,NE_CON_PRVT_KD_ZG,,PT,,-8.0
2004,NE_CON_PRVT_KD_ZG,,PT,,7.0
2005,NE_CON_PRVT_KD_ZG,,PT,,9.0
2006,NE_CON_PRVT_KD_ZG,,PT,,14.0
2007,NE_CON_PRVT_KD_ZG,,PT,,0.0
2008,NE_CON_PRVT_KD_ZG,,PT,,7.0
2009,NE_CON_PRVT_KD_ZG,,PT,,13.0
2010,NE_CON_PRVT_KD_ZG,,PT,,4.0
2011,NE_CON_PRVT_KD_ZG,,PT,,9.0
2012,NE_CON_PRVT_KD_ZG,,PT,,9.0
2013,NE_CON_PRVT_KD_ZG,,PT,,9.0
2014,NE_CON_PRVT_KD_ZG,,PT,,8.0
2015,NE_CON_PRVT_KD_ZG,,PT,,16.0
2016,NE_CON_PRVT_KD_ZG,,PT,,4.0
2017,NE_CON_PRVT_KD_ZG,,PT,,-5.0
2018,NE_CON_PRVT_KD_ZG,,PT,,8.0
2019,NE_CON_PRVT_KD_ZG,,PT,,2.0
2020,NE_CON_PRVT_KD_ZG,,PT,,4.0
2021,NE_CON_PRVT_KD_ZG,,PT,,-6.0
2022,NE_CON_PRVT_KD_ZG,,PT,,-2.0
2023,NE_CON_PRVT_KD_ZG,,PT,,11.0
2024,NE_CON_PRVT_KD_ZG,,PT,,3.0
2000,NE_GDI_TOTL_KD_ZG,,PT,,17.0
2001,NE_GDI_TOTL_KD_ZG,,PT,,0.0
2002,NE_GDI_TOTL_KD_ZG,,PT,,8.0
2003,NE_GDI_TOTL_KD_ZG,,PT,,10.0
2004,NE_GDI_TOTL_KD_ZG,,PT,,12.0
2005,NE_GDI_TOTL_KD_ZG,,PT,,16.0
2006,NE_GDI_TOTL_KD_ZG,,PT,,24.0
2007,NE_GDI_TOTL_KD_ZG,,PT,,28.0
2008,NE_GDI_TOTL_KD_ZG,,PT,,33.0
2009,NE_GDI_TOTL_KD_ZG,,PT,,3.0
2010,NE_GDI_TOTL_KD_ZG,,PT,,7.0
2011,NE_GDI_TOTL_KD_ZG,,PT,,9.0
2012,NE_GDI_TOTL_KD_ZG,,PT,,22.0
2013,NE_GDI_TOTL_KD_ZG,,PT,,7.0
2014,NE_GDI_TOTL_KD_ZG,,PT,,5.0
2015,NE_GDI_TOTL_KD_ZG,,PT,,19.0
2016,NE_GDI_TOTL_KD_ZG,,PT,,9.0
2017,NE_GDI_TOTL_KD_ZG,,PT,,-10.0
2018,NE_GDI_TOTL_KD_ZG,,PT,,6.0
2019,NE_GDI_TOTL_KD_ZG,,PT,,32.0
2020,NE_GDI_TOTL_KD_ZG,,PT,,-5.0
2021,NE_GDI_TOTL_KD_ZG,,PT,,16.0
2022,NE_GDI_TOTL_KD_ZG,,PT,,23.0
2023,NE_GDI_TOTL_KD_ZG,,PT,,15.0
2024,NE_GDI_TOTL_KD_ZG,,PT,,7.0
2000,NE_EXP_GNFS_KD_ZG,,PT,,0.0
2001,NE_EXP_GNFS_KD_ZG,,PT,,40.0
2002,NE_EXP_GNFS_KD_ZG,,PT,,5.0
2003,NE_EXP_GNFS_KD_ZG,,PT,,20.0
2004,NE_EXP_GNFS_KD_ZG,,PT,,32.0
2005,NE_EXP_GNFS_KD_ZG,,PT,,11.0
2006,NE_EXP_GNFS_KD_ZG,,PT,,2.0
2007,NE_EXP_GNFS_KD_ZG,,PT,,44.0
2008,NE_EXP_GNFS_KD_ZG,,PT,,-12.0
2009,NE_EXP_GNFS_KD_ZG,,PT,,-3.0
2010,NE_EXP_GNFS_KD_ZG,,PT,,8.0
2011,NE_EXP_GNFS_KD_ZG,,PT,,24.0
2012,NE_EXP_GNFS_KD_ZG,,PT,,9.0
2013,NE_EXP_GNFS_KD_ZG,,PT,,19.0
2014,NE_EXP_GNFS_KD_ZG,,PT,,7.0
2015,NE_EXP_GNFS_KD_ZG,,PT,,6.0
2016,NE_EXP_GNFS_KD_ZG,,PT,,13.0
2017,NE_EXP_GNFS_KD_ZG,,PT,,42.0
2018,NE_EXP_GNFS_KD_ZG,,PT,,11.0
2019,NE_EXP_GNFS_KD_ZG,,PT,,20.0
2020,NE_EXP_GNFS_KD_ZG,,PT,,-10.0
2021,NE_EXP_GNFS_KD_ZG,,PT,,2.0
2022,NE_EXP_GNFS_KD_ZG,,PT,,58.0
2023,NE_EXP_GNFS_KD_ZG,,PT,,20.0
2024,NE_EXP_GNFS_KD_ZG,,PT,,23.0
2000,NE_IMP_GNFS_KD_ZG,,PT,,24.0
2001,NE_IMP_GNFS_KD_ZG,,PT,,-5.0
2002,NE_IMP_GNFS_KD_ZG,,PT,,9.0
2003,NE_IMP_GNFS_KD_ZG,,PT,,-13.0
2004,NE_IMP_GNFS_KD_ZG,,PT,,21.0
2005,NE_IMP_GNFS_KD_ZG,,PT,,12.0
2006,NE_IMP_GNFS_KD_ZG,,PT,,23.0
2007,NE_IMP_GNFS_KD_ZG,,PT,,13.0
2008,NE_IMP_GNFS_KD_ZG,,PT,,-3.0
2009,NE_IMP_GNFS_KD_ZG,,PT,,17.0
2010,NE_IMP_GNFS_KD_ZG,,PT,,2.0
2011,NE_IMP_GNFS_KD_ZG,,PT,,18.0
2012,NE_IMP_GNFS_KD_ZG,,PT,,19.0
2013,NE_IMP_GNFS_KD_ZG,,PT,,9.0
2014,NE_IMP_GNFS_KD_ZG,,PT,,15.0
2015,NE_IMP_GNFS_KD_ZG,,PT,,23.0
2016,NE_IMP_GNFS_KD_ZG,,PT,,8.0
2017,NE_IMP_GNFS_KD_ZG,,PT,,6.0
2018,NE_IMP_GNFS_KD_ZG,,PT,,8.0
2019,NE_IMP_GNFS_KD_ZG,,PT,,18.0
2020,NE_IMP_GNFS_KD_ZG,,PT,,-4.0
2021,NE_IMP_GNFS_KD_ZG,,PT,,-12.0
2022,NE_IMP_GNFS_KD_ZG,,PT,,12.0
2023,NE_IMP_GNFS_KD_ZG,,PT,,26.0
2024,NE_IMP_GNFS_KD_ZG,,PT,,5.0
2000,NY_GDP_MKTP_KD_ZG,,PT,,8.4
2001,NY_GDP_MKTP_KD_ZG,,PT,,8.5
2002,NY_GDP_MKTP_KD_ZG,,PT,,13.2
2003,NY_GDP_MKTP_KD_ZG,,PT,,2.2
2004,NY_GDP_MKTP_KD_ZG,,PT,,7.4
2005,NY_GDP_MKTP_KD_ZG,,PT,,9.4
2006,NY_GDP_MKTP_KD_ZG,,PT,,9.2
2007,NY_GDP_MKTP_KD_ZG,,PT,,7.6
2008,NY_GDP_MKTP_KD_ZG,,PT,,11.2
2009,NY_GDP_MKTP_KD_ZG,,PT,,6.2
2010,NY_GDP_MKTP_KD_ZG,,PT,,7.3
2011,NY_GDP_MKTP_KD_ZG,,PT,,8.0
2012,NY_GDP_MKTP_KD_ZG,,PT,,8.6
2013,NY_GDP_MKTP_KD_ZG,,PT,,4.7
2014,NY_GDP_MKTP_KD_ZG,,PT,,5.7
2015,NY_GDP_MKTP_KD_ZG,,PT,,8.9
2016,NY_GDP_MKTP_KD_ZG,,PT,,5.7
2017,NY_GDP_MKTP_KD_ZG,,PT,,4.7
2018,NY_GDP_MKTP_KD_ZG,,PT,,8.1
2019,NY_GDP_MKTP_KD_ZG,,PT,,9.3
2020,NY_GDP_MKTP_KD_ZG,,PT,,-2.8
2021,NY_GDP_MKTP_KD_ZG,,PT,,8.4
2022,NY_GDP_MKTP_KD_ZG,,PT,,9.8
2023,NY_GDP_MKTP_KD_ZG,,PT,,8.6
2024,NY_GDP_MKTP_KD_ZG,,PT,,7.2
2011,PA_NUS_ATLS,,PT,,600.0
2012,PA_NUS_ATLS,,PT,,614.0
2013,PA_NUS_ATLS,,PT,,647.0
2014,PA_NUS_ATLS,,PT,,682.0
2015,PA_NUS_ATLS,,PT,,720.0
2016,PA_NUS_ATLS,,PT,,787.0
2017,PA_NUS_ATLS,,PT,,831.0
2018,PA_NUS_ATLS,,PT,,861.0
2019,PA_NUS_ATLS,,PT,,901.0
2020,PA_NUS_ATLS,,PT,,945.0
2021,PA_NUS_ATLS,,PT,,990.0
2022,PA_NUS_ATLS,,PT,,1033.0
2023,PA_NUS_ATLS,,PT,,1168.0
2024,PA_NUS_ATLS,,PT,,1323.0
2000,TG_VAL_TOTL_GD_ZS,,PT,,31.0
2001,TG_VAL_TOTL_GD_ZS,,PT,,33.0
2002,TG_VAL_TOTL_GD_ZS,,PT,,31.0
2003,TG_VAL_TOTL_GD_ZS,,PT,,32.0
2004,TG_VAL_TOTL_GD_ZS,,PT,,37.0
2005,TG_VAL_TOTL_GD_ZS,,PT,,38.0
2006,TG_VAL_TOTL_GD_ZS,,PT,,34.0
2007,TG_VAL_TOTL_GD_ZS,,PT,,37.0
2008,TG_VAL_TOTL_GD_ZS,,PT,,38.0
2009,TG_VAL_TOTL_GD_ZS,,PT,,37.0
2010,TG_VAL_TOTL_GD_ZS,,PT,,38.0
2011,TG_VAL_TOTL_GD_ZS,,PT,,40.0
2012,TG_VAL_TOTL_GD_ZS,,PT,,41.0
2013,TG_VAL_TOTL_GD_ZS,,PT,,44.0
2014,TG_VAL_TOTL_GD_ZS,,PT,,44.0
2015,TG_VAL_TOTL_GD_ZS,,PT,,45.0
2016,TG_VAL_TOTL_GD_ZS,,PT,,50.0
2017,TG_VAL_TOTL_GD_ZS,,PT,,54.0
2018,TG_VAL_TOTL_GD_ZS,,PT,,48.0
2019,TG_VAL_TOTL_GD_ZS,,PT,,49.0
2020,TG_VAL_TOTL_GD_ZS,,PT,,45.0
2021,TG_VAL_TOTL_GD_ZS,,PT,,60.0
2022,TG_VAL_TOTL_GD_ZS,,PT,,61.0
2023,TG_VAL_TOTL_GD_ZS,,PT,,67.0
2024,TG_VAL_TOTL_GD_ZS,,PT,,71.0
